*ItemCode,ItemName,Quantity,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount,Status,InventoryType
TIK152,Tikkurila Intact 8 - Pastels 10ltr,,Tikkurila Intact 8 - Pastels 10L,152.37,311,No VAT,Tikkurila Intact 8 - Pastels 10L,182.84,202,No VAT,,,Active,Untracked
TIK153,Tikkurila Intact 8 - Pastels 3ltr,,Tikkurila Intact 8 - Pastels 3L,49.64,311,No VAT,Tikkurila Intact 8 - Pastels 3L,59.57,202,No VAT,,,Active,Untracked
TIK154,Tikkurila Intact 8 - Pastels 1ltr,,Tikkurila Intact 8 - Pastels 1L,17.43,311,No VAT,Tikkurila Intact 8 - Pastels 1L,20.92,202,No VAT,,,Active,Untracked
TIK155,Tikkurila Intact 8 - Colours 10ltr,,Tikkurila Intact 8 - Colours 10L,174.11,311,No VAT,Tikkurila Intact 8 - Colours 10L,208.94,202,No VAT,,,Active,Untracked
TIK156,Tikkurila Intact 8 - Colours 3ltr,,Tikkurila Intact 8 - Colours 3L,56.71,311,No VAT,Tikkurila Intact 8 - Colours 3L,68.06,202,No VAT,,,Active,Untracked
TIK157,Tikkurila Intact 8 - Colours 1ltr,,Tikkurila Intact 8 - Colours 1L,19.90,311,No VAT,Tikkurila Intact 8 - Colours 1L,23.88,202,No VAT,,,Active,Untracked
TIK158,Tikkurila Intact 40 - White 10ltr,,Tikkurila Intact 40 - White 10L,145.08,311,No VAT,Tikkurila Intact 40 - White 10L,174.10,202,No VAT,,,Active,Untracked
TIK159,Tikkurila Intact 40 - White 3ltr,,Tikkurila Intact 40 - White 3L,47.25,311,No VAT,Tikkurila Intact 40 - White 3L,56.70,202,No VAT,,,Active,Untracked
TIK160,Tikkurila Intact 40 - White 1ltr,,Tikkurila Intact 40 - White 1L,16.59,311,No VAT,Tikkurila Intact 40 - White 1L,19.91,202,No VAT,,,Active,Untracked
TIK161,Tikkurila Intact 40 - Pastels 10ltr,,Tikkurila Intact 40 - Pastels 10L,152.37,311,No VAT,Tikkurila Intact 40 - Pastels 10L,182.84,202,No VAT,,,Active,Untracked
TIK162,Tikkurila Intact 40 - Pastels 3ltr,,Tikkurila Intact 40 - Pastels 3L,49.64,311,No VAT,Tikkurila Intact 40 - Pastels 3L,59.57,202,No VAT,,,Active,Untracked
TIK163,Tikkurila Intact 40 - Pastels 1ltr,,Tikkurila Intact 40 - Pastels 1L,17.43,311,No VAT,Tikkurila Intact 40 - Pastels 1L,20.92,202,No VAT,,,Active,Untracked
TIK164,Tikkurila Intact 40 - Colours 10ltr,,Tikkurila Intact 40 - Colours 10L,174.11,311,No VAT,Tikkurila Intact 40 - Colours 10L,208.94,202,No VAT,,,Active,Untracked
TIK165,Tikkurila Intact 40 - Colours 3ltr,,Tikkurila Intact 40 - Colours 3L,56.71,311,No VAT,Tikkurila Intact 40 - Colours 3L,68.06,202,No VAT,,,Active,Untracked
TIK166,Tikkurila Intact 40 - Colours 1ltr,,Tikkurila Intact 40 - Colours 1L,19.90,311,No VAT,Tikkurila Intact 40 - Colours 1L,23.88,202,No VAT,,,Active,Untracked
TIK167,Tikkurila Intact Laq 10 - Clear/Colours 10ltr,,Tikkurila Intact Laq 10 - Clear/Colours 10L,170.64,311,No VAT,Tikkurila Intact Laq 10 - Clear/Colours 10L,204.77,202,No VAT,,,Active,Untracked
TIK168,Tikkurila Intact Laq 10 - Clear/Colours 3ltr,,Tikkurila Intact Laq 10 - Clear/Colours 3L,58.67,311,No VAT,Tikkurila Intact Laq 10 - Clear/Colours 3L,70.40,202,No VAT,,,Active,Untracked
TIK169,Tikkurila Intact Laq 30 - Clear/Colours 10ltr,,Tikkurila Intact Laq 30 - Clear/Colours 10L,170.64,311,No VAT,Tikkurila Intact Laq 30 - Clear/Colours 10L,204.77,202,No VAT,,,Active,Untracked
TIK170,Tikkurila Intact Laq 30 - Clear/Colours 3ltr,,Tikkurila Intact Laq 30 - Clear/Colours 3L,58.67,311,No VAT,Tikkurila Intact Laq 30 - Clear/Colours 3L,70.40,202,No VAT,,,Active,Untracked
TIK171,Tikkurila Akvi Primer - White 20ltr,,Tikkurila Akvi Primer - White 20L,189.65,311,No VAT,Tikkurila Akvi Primer - White 20L,227.58,202,No VAT,,,Active,Untracked
TIK172,Tikkurila Akvi Isolator - White 20ltr,,Tikkurila Akvi Isolator - White 20L,367.38,311,No VAT,Tikkurila Akvi Isolator - White 20L,440.86,202,No VAT,,,Active,Untracked
TIK173,Tikkurila Helmi Primer - White 3ltr,,Tikkurila Helmi Primer - White 3L,47.25,311,No VAT,Tikkurila Helmi Primer - White 3L,56.70,202,No VAT,,,Active,Untracked
TIK174,Tikkurila Helmi Primer - White 1ltr,,Tikkurila Helmi Primer - White 1L,16.59,311,No VAT,Tikkurila Helmi Primer - White 1L,19.91,202,No VAT,,,Active,Untracked
TIK175,Tikkurila Helmi Primer - Pastels 3ltr,,Tikkurila Helmi Primer - Pastels 3L,49.64,311,No VAT,Tikkurila Helmi Primer - Pastels 3L,59.57,202,No VAT,,,Active,Untracked
TIK176,Tikkurila Helmi Primer - Pastels 1ltr,,Tikkurila Helmi Primer - Pastels 1L,17.43,311,No VAT,Tikkurila Helmi Primer - Pastels 1L,20.92,202,No VAT,,,Active,Untracked
TIK177,Tikkurila Helmi Primer - Colours 3ltr,,Tikkurila Helmi Primer - Colours 3L,56.71,311,No VAT,Tikkurila Helmi Primer - Colours 3L,68.06,202,No VAT,,,Active,Untracked
TIK178,Tikkurila Helmi Primer - Colours 1ltr,,Tikkurila Helmi Primer - Colours 1L,19.90,311,No VAT,Tikkurila Helmi Primer - Colours 1L,23.88,202,No VAT,,,Active,Untracked
TIK179,Tikkurila Helmi 10 - White 3ltr,,Tikkurila Helmi Matt (10) - White 3L,47.25,311,No VAT,Tikkurila Helmi Matt (10) - White 3L,56.70,202,No VAT,,,Active,Untracked
TIK180,Tikkurila Helmi 10 - White 1ltr,,Tikkurila Helmi Matt (10) - White 1L,16.59,311,No VAT,Tikkurila Helmi Matt (10) - White 1L,19.91,202,No VAT,,,Active,Untracked
TIK181,Tikkurila Helmi 10 - Pastels 3ltr,,Tikkurila Helmi Matt (10) - Pastels 3L,49.64,311,No VAT,Tikkurila Helmi Matt (10) - Pastels 3L,59.57,202,No VAT,,,Active,Untracked
TIK182,Tikkurila Helmi 10 - Pastels 1ltr,,Tikkurila Helmi Matt (10) - Pastels 1L,17.43,311,No VAT,Tikkurila Helmi Matt (10) - Pastels 1L,20.92,202,No VAT,,,Active,Untracked
TIK183,Tikkurila Helmi 10 - Colours 3ltr,,Tikkurila Helmi Matt (10) - Colours 3L,56.71,311,No VAT,Tikkurila Helmi Matt (10) - Colours 3L,68.06,202,No VAT,,,Active,Untracked
TIK184,Tikkurila Helmi 10 - Colours 1ltr,,Tikkurila Helmi Matt (10) - Colours 1L,19.90,311,No VAT,Tikkurila Helmi Matt (10) - Colours 1L,23.88,202,No VAT,,,Active,Untracked
TIK185,Tikkurila Helmi 30 - White 10ltr,,Tikkurila Helmi Satin (30) - White 10L,145.08,311,No VAT,Tikkurila Helmi Satin (30) - White 10L,174.10,202,No VAT,,,Active,Untracked
TIK186,Tikkurila Helmi 30 - White 1ltr (per litre),,Tikkurila Helmi Satin (30) - White 1L (per litre),14.51,311,No VAT,Tikkurila Helmi Satin (30) - White 1L (per litre),17.41,202,No VAT,,,Active,Untracked
TIK187,Tikkurila Helmi 30 - White 3ltr,,Tikkurila Helmi Satin (30) - White 3L,47.25,311,No VAT,Tikkurila Helmi Satin (30) - White 3L,56.70,202,No VAT,,,Active,Untracked
TIK188,Tikkurila Helmi 30 - Pastels 10ltr,,Tikkurila Helmi Satin (30) - Pastels 10L,152.37,311,No VAT,Tikkurila Helmi Satin (30) - Pastels 10L,182.84,202,No VAT,,,Active,Untracked
TIK189,Tikkurila Helmi 30 - Pastels 3ltr,,Tikkurila Helmi Satin (30) - Pastels 3L,49.64,311,No VAT,Tikkurila Helmi Satin (30) - Pastels 3L,59.57,202,No VAT,,,Active,Untracked
TIK190,Tikkurila Helmi 30 - Pastels 1ltr,,Tikkurila Helmi Satin (30) - Pastels 1L,17.43,311,No VAT,Tikkurila Helmi Satin (30) - Pastels 1L,20.92,202,No VAT,,,Active,Untracked
